Term,Definitions,GPT Assistance
Non-Linear Dynamic Reasoning,"This involves reasoning in a non-linear fashion, where the thought process is not sequential but rather cyclical or network-based, resembling natural patterns or systems dynamics.","Complex problem-solving in ecology, economics, and systems theory; suitable for neurodivergent individuals with associative thinking styles."
Multidimensional Pattern Recognition,"A reasoning model that involves recognizing patterns across multiple dimensions or scales simultaneously, beyond typical human sensory or cognitive limitations.","AGI development, data analysis in multidimensional datasets, enhancing perception in synthetic intelligences."
Fractal Thought Processes,"Applying the principles of fractals – self-similarity and scale invariance – to reasoning, where ideas and solutions are scalable and self-referential.","Creative industries, architectural design, strategic planning; could align with neurodivergent perspectives that find coherence in repeating patterns."
Quantum Cognitive Models,"Reasoning models based on principles of quantum mechanics, such as superposition and entanglement, allowing for simultaneous consideration of mutually exclusive states or ideas.","Theoretical research, decision-making under uncertainty, AGI cognitive frameworks, exploring non-binary thinking prevalent in some neurodivergent minds."
Context Fluid Reasoning,"A system where context and relevance fluidly and dynamically influence the reasoning process, beyond static rules or environments.","Adaptive AI systems, personalized learning, psychiatric and neurological research especially for understanding context processing differences in neurodivergent individuals."
Emotional Algorithmic Reasoning,"Integrating emotional data into algorithms to inform reasoning processes, acknowledging the role emotions play in human cognition but abstracting it for use in AI or understanding neurodivergent thought.","AI empathy development, human-computer interaction, enhancing understanding of how emotions influence neurodivergent reasoning."
Hybrid Intuitive-Logical Models,"Combining intuitive and logical reasoning in a structured format, recognizing that some neurodivergent individuals may switch between these modes in unconventional ways.","Decision-making frameworks, educational strategies, AI systems that mimic human-like decision-making processes."
Adaptive Recursive Thinking,"A model where reasoning processes are continuously reviewed and adapted based on new information or outcomes, similar to recursive functions in programming but applied to cognitive processes.","Continuous learning systems, problem-solving in rapidly changing environments, supportive of ADHD and autistic thinking patterns where constant iteration is a norm."
Symbiotic Reasoning Systems,"Reasoning models that involve a cooperative interaction between human and artificial intelligences, leveraging the strengths of each.","Collaborative AI, team dynamics research, understanding and integrating diverse neurodivergent perspectives."
Parallel Contextual Reasoning,"Thinking that simultaneously processes multiple contexts or sets of rules, which could align with the way some neurodivergent minds manage multiple narrative threads or scenarios.","Multitasking environments, scenario planning, AI that need to operate across diverse cultural or social settings."
Divergent & Creative Thinking/Reasoning Models,,
Associative Thinking,"This form of thinking involves making connections between seemingly unrelated concepts. Neurodivergent individuals, particularly those with ADHD or Autism Spectrum Disorder (ASD), often exhibit strong associative thinking abilities.","Creative arts, invention, marketing strategies, and interdisciplinary research can benefit from associative thinking, as it leads to novel combinations and ideas."
Pattern-Based Reasoning,"Neurodivergent individuals, especially those on the autism spectrum, may excel in identifying patterns and anomalies within those patterns. This type of reasoning goes beyond mere observation, allowing for deep analysis and understanding of complex systems.","Fields like data analysis, cryptography, music composition, and theoretical physics can leverage pattern-based reasoning for uncovering underlying structures and predicting outcomes."
Visual-Spatial Thinking,"This involves thinking in images and spatial relationships rather than words. Highly visual thinkers, often found among neurodivergent populations, can manipulate and explore spatial information mentally.","Architecture, engineering, graphic design, and virtual reality development are areas where visual-spatial thinking is invaluable, allowing for the conceptualization and realization of complex designs."
Context-Dependent Reasoning,"Some neurodivergent individuals demonstrate heightened sensitivity to context, influencing their reasoning and decision-making. This can lead to a deep understanding of context-specific nuances that others might overlook.","Social sciences, user experience design, and cultural studies can benefit from context-dependent reasoning, as it provides nuanced insights into human behavior and societal trends."
Divergent Thinking,"Characterized by the ability to think of many different solutions to a problem, divergent thinking is often linked to creativity. Neurodivergent individuals might excel in generating a wide range of ideas and alternatives.","Brainstorming in business development, creative writing, and innovation workshops can utilize divergent thinking for generating varied solutions and ideas."
Hyper-Focusing Ability,"The capacity to focus intensely on a subject of interest for extended periods is common among neurodivergent individuals. While this can be challenging in some settings, it allows for deep dives into specific topics.","Research fields, software development, and artistic endeavors can benefit from the hyper-focusing ability, as it enables profound dedication and detailed work."
Logical-Mathematical Exploration,"Similar to pattern-based reasoning but more focused on numerical and logical structures, this involves exploring and understanding the world through mathematical concepts and logical frameworks.","Mathematics, computer programming, logical analysis, and scientific research can be enhanced by logical-mathematical exploration, contributing to new theories and technologies."
Emotional Reasoning,"Understanding and interpreting the world through emotions and empathetic connections. While not exclusive to neurodivergent individuals, this form of reasoning can be particularly profound and nuanced among them.","Psychotherapy, conflict resolution, humanitarian efforts, and artistic expression can all benefit from deep emotional reasoning, leading to more empathetic and human-centric solutions."
Intuitive Problem Solving,Relying on gut feelings or intuition rather than conventional logic or analysis. Neurodivergent thinkers might approach problems in intuitive ways that bypass traditional step-by-step reasoning.,"Entrepreneurship, emergency response, and strategic planning can utilize intuitive problem solving to make swift decisions in complex situations."
Lateral Thinking,"Solving problems through an indirect and creative approach, typically through viewing problems in a new and unusual light.","Marketing, product development, creative writing."
Intertextual Thinking,"Drawing connections and relationships between different texts, ideas, or concepts.","Literature analysis, film studies, intercultural communication."
Rhizomatic Thinking,"Approaching ideas non-hierarchical and non-linearly, similar to the structure of a rhizome plant.","Educational theory, organizational structure, philosophy."
Synesthetic Thinking,"Associating one sensory experience with another, merging concepts from different sensory modalities.","Art and design, music composition, brand development."
Chaotic Thinking,"Deriving insight from disorder, unpredictability, and non-linearity.","Entrepreneurship, emergency management, artistic creation."
Transliminal Thinking,Crossing threshold levels of consciousness to access unusual thought processes.,"Creativity studies, psychotherapy, meditation practices."
Polymathic Thinking,Integrating knowledge and approaches from multiple disciplines.,"Research and development, innovation labs, education."
Morphological Analysis,Breaking down problems into all possible solutions and examining the outcomes of each.,"Strategic planning, product innovation, problem-solving."
Dialogic Thinking,"Engaging in thought through dialogue, either internally or with others, to explore complex ideas.","Education, conflict resolution, collaborative projects."
Mythopoetic Thinking,"Using myths, stories, and metaphors to derive meaning and solve problems.","Brand storytelling, psychotherapy, cultural studies."
Biomimetic Thinking,Drawing inspiration from nature to solve human challenges.,"Sustainable design, architecture, engineering."
Reflexive Thinking,"Reflecting critically on one's own beliefs, thoughts, and values.","Personal development, ethical decision-making, leadership."
Constructivist Thinking,Constructing meaning based on individual experiences and perspectives.,"Educational methodologies, social sciences."
Multivalent Thinking,"Embracing ambiguity, contradiction, and multiple meanings in problem-solving.","Poetry, visual arts, philosophical inquiry."
Speculative Thinking,Imagining future scenarios and possibilities without constraints of current reality.,"Futurism, scenario planning, speculative fiction writing."
Non-Traditional Thinking Models,,
Paradoxical Thinking,"Embracing contradictions and inconsistencies within reasoning processes, leading to solutions that defy conventional logic.","Creative problem-solving, philosophical debates, innovative product design."
Magical Thinking,"Attributing causal relationships between actions and events where none logically exist, based on superstition or cultural beliefs.","Art, literature, advertising, therapy (as a tool to explore personal beliefs and perceptions)."
Circular Reasoning,"A reasoning process where the conclusion is also used as one of the premises, creating a loop that doesn't adhere to classical logic.","Persuasive writing or speeches, comedy, artistic narratives where the journey is more important than the logical outcome."
Absurdist Reasoning,"Deliberately defying reason to explore the arbitrary or meaningless nature of human existence, often used in existential thought.","Theater (e.g., absurdist plays), literary analysis, existential philosophy, coping mechanisms for stress or trauma."
Dream Logic,"Mimicking the illogical, fluid, and associative nature of dreams in thought processes.","Creative arts, psychoanalysis, brainstorming sessions aimed at unlocking subconscious creativity."
Anarchic Thinking,"Rejecting established rules and systems in favor of spontaneous, individualistic decision-making.","Social movements, punk and avant-garde art scenes, entrepreneurial ventures challenging the status quo."
Surreal Reasoning,Combining unrelated elements in unexpected ways to challenge conventional perceptions and explore subconscious thoughts.,"Surrealist art and literature, innovative marketing campaigns, therapy focusing on unlocking subconscious thoughts."
Recursive Thinking,"Applying the same reasoning process or rule repeatedly, each time applying it to its own results, which can sometimes lead to nonsensical outcomes.","Mathematical paradoxes, programming (in a controlled environment), conceptual art."
Syncretic Thinking,"Merging disparate beliefs, ideas, or systems without concern for conventional logical consistency.","Cultural studies, eclectic therapy approaches, interdisciplinary research, new religious movements."
Mimetic Thinking,"Imitating or adopting thought processes, behaviors, or characteristics from other sources without rational analysis.","Performance arts, social learning, marketing strategies based on viral or meme culture."
AI Behavior,https://ai-guide.future.mozilla.org/content/ai-basics/,
Model Architecture,"In machine learning, model architecture refers to the specific arrangement and connections of the layers and nodes within a neural network or any other computational model. This architecture dictates how data flows through the model, how information is processed, and ultimately influences the model's performance and capabilities.",
Artificial Intelligence (AI),"AI is a branch of computer science that aims to create machines or software capable of intelligent behavior or simulated human behavior. This includes reasoning, learning, perception, problem-solving, and language understanding, among other cognitive tasks that are typically associated with human intelligence.",
Natural Language Processing (NLP),"NLP is a subfield of artificial intelligence and linguistics. It involves the interaction between computers and humans through natural language. The ultimate objective of NLP is to enable computers to understand, interpret, and generate human languages in a valuable and meaningful way.",
Machine Learning (ML),"ML is a subset of artificial intelligence that involves the use of statistical techniques to enable machines to improve at tasks with experience. It focuses on developing algorithms that can learn from and make predictions or decisions based on data, rather than following strictly static program instructions.",
Large Language Model (LLM),"An LLM is a type of machine learning model specifically designed to understand, generate, and work with human language. These models are ""large"" due to the vast amount of data they are trained on and the complexity of their neural network architectures. LLMs, such as those in the GPT (Generative Pre-trained Transformer) series, can perform a variety of language tasks, including translation, summarization, question-answering, and more.",
,"Typically, the acronym LLM refers to Large Language Models. However, with the grower adaptation of models becoming smaller has leaned to trend of the use  AI systems designed to perform a variety of language tasks, including translation, summarization, question-answering, and more similar to that of",
SOTA (State of the Art) LLMs,Refers to the most advanced and capable large language models currently available.,
Language Model,Takes text as input and produces a probability distribution over potential next words.,
Model,"An algorithm performing a specific task, usually a neural network in contemporary NLP.",
Generative Pre-trained Transformer (GPT),Type of artificial intelligence model used primarily in the field of natural language processing (NLP) and large language models (LLMs).,
Tokenization,"The  model  starts  by  converting  the  input  prompt  into  a  sequence  of  tokens,  often  in  the  form  of  subword  units,  using  a  process  known  as  Byte-Pair  Encoding  (BPE).",
Context  Window  Selection,"Should the prompt exceed GPT’s maximum token limit, it must be truncated or divided into smaller parts, risking a potential loss of context. In other words refers to the portion of the prompt that the LLM considers for generating a response.",
Embedding,"Each  token  is  then  mapped  to  a  vector  representation,  called  an  embedding.  This  captures  semantic  and  syntactic  information  about  the  token.",
Forward Pass, The   embeddings   are   processed   through   a   series   of   Transformer   blocks.   These   leverage   self-attention   mechanisms   and   neural  networks  to  identify  long-range  dependencies  and  contextual  relationships  between  tokens.,
Attention Mechanisms,"In transformer-based models like GPT, attention mechanisms allow the model to weigh different parts of the input differently. This means the model doesn't parse its entire dataset for every request but instead focuses on the segments most relevant to the given prompt's context.",
Selective Parsing,"While not a term traditionally used in technical documentation, it conceptually refers to the model's ability to ""focus"" or ""attend"" to specific parts of the input data (prompt) that are more relevant to producing the correct output. This is a byproduct of the attention mechanism and embedding process, which together help the model determine which parts of its knowledge base (pre-trained data) should be leveraged for generating a response.",
Probability  Distribution,GPT  then  produces  a  probability  distribution  for  the  next  token  in  the  sequence.  This  predicts  possible  next  words  based  on  the  patterns  it  learned  during  training.,
Token  Sampling,"A  token  is  chosen  from  the  probability  distribution.  The  method  of  selection,  such  as  greedy  or  temperature-based  sampling,  can  influence  the  randomness  and  diversity  of  the  text  generated.",
Decoding,"The  chosen  token  is  added  to  the  existing  sequence,  and  the  process  is  repeated  until  a  specific  criterion  for  stopping  is  met,  which  might  be  a  maximum  token  limit,  an  end-of-sentence  token,  or  a  condition  defined  by  the  user.",
De-Tokenization,"Finally,  the  sequence  of  tokens  is  translated  back  into  human-readable  text,  with  any  special  tokens  used  during  tokenization  being  removed  and  original  words  or  subwords  being  reconstructed.",
Output Generation,"Finally, the model generates the output text. This is done one token at a time, with the model deciding on the most likely next token based on the current state. The process continues until the model generates a termination token or reaches a preset maximum length.",
Vector Space,The mathematical space in which AI models operate. Often used to determine the relationship between or Stereotypical Imprints of words. ,
Blackbox,Unknown space of language patterns that is within LLM systems. Demonstrating how much we do not known about AI Vector Space.,
Vector Store,"Refer to a memory operation or data structure designed to hold and manage vector data. Vectors, in this context, are one-dimensional arrays or lists of elements. A vector store could be a part of a larger data management system, used in applications ranging from mathematical computations to graphics processing. In hardware terms, especially in SIMD (Single Instruction, Multiple Data) computing, it refers to the instruction that stores vector data from the CPU's registers back into main memory.",
Rules Injector,"Refers to a component or a system that dynamically inserts rules into a software application, network device, or security mechanism. This could be part of a firewall, an intrusion detection system, or custom software where business logic or security policies need to be updated regularly without restarting or deploying the application. The primary function is to allow for the dynamic modification of behavior or policies based on new information, conditions, or threats.",
Thread,"Represents a single sequence of executable instructions within a process. Modern operating systems support multithreading, which allows multiple threads to run concurrently within a single process, sharing resources but operating independently. This enables more efficient application performance by parallelizing tasks within the same application environment. Threads can be used in programming to execute background tasks, handle asynchronous events, or perform multiple operations simultaneously to increase the efficiency of application execution.",
Hallucinations,Often referred to when AI generates incorrect or unrelated information but could also refer to innovative or creative outputs from the AI.,
Fine-Tune Model,The process of taking a pre-trained model (usually on a large dataset) and adjusting it to perform a specific task or improve performance on a particular dataset.,
Retrieval-Augmented Generation (RAG),AI framework that enhances the output of language models by dynamically retrieving information from external data sources in real time to provide more accurate and up-to-date responses.,
Curated Data Training,"Training an AI model on a dataset that has been carefully selected and organized. The data is usually high-quality, relevant, and cleaned to ensure that the AI learns the correct patterns and can perform specific tasks effectively.",
Distilled Model,"The process, known as model distillation or knowledge distillation, involves transferring the knowledge from a larger, sophisticated model (often called the teacher model) to a smaller, more efficient one (known as the student model).",
Stereotypical Imprints,"The ingrained biases or assumptions these models may adopt and perpetuate based on the vast datasets they are trained on. These datasets often contain historical, cultural, or social biases present in human language and texts. As a result, LLMs can inadvertently replicate or amplify these stereotypes, affecting the fairness, neutrality, and accuracy of their outputs.",
Bleu scores,Automated metric for evaluating text translation quality by comparing proposed translation chunks to reference translations.,
Computer Vision (CV),Subfield focusing on automated information processing from visual signals.,
Content Safeguards,Strategies to prevent language models from generating harmful outputs.,
Convergence,"When a model's output loss is minimal, indicating no further improvement.",
Data,Inputs and desired outputs used to train or evaluate a model.,
Data-driven,Processes determining actions based on massive data analysis.,
Deep Learning,Machine learning methods using deep neural network models.,
Depth,The number of layers in a neural network architecture.,
Domain,"Specific grouping of data with unifying characteristics, like ""Wikipedia domain"" or ""business email domain.""",
Extrinsic Evaluation,Evaluates a model's impact on a larger system's performance or factors related to practical use.,
Function,"Mapping of inputs to outputs; in this context, usually refers to number-based functions.",
Generative AI,AI models simulating complex data forms like text or images.,
Gradient,"Indicates direction and magnitude of a function’s steepest ascent, used in optimization like SGD.",
Intrinsic Evaluation,Evaluates a model based on specific test sets without considering integration into larger systems.,
Label,The correct output for an input in tasks with a fixed set of categories.,
Layer,A submodule of a neural network that processes data representations.,
Loss Function,"Compares a model’s output to a reference output, returning a loss value indicating similarity.",
Machine Learning (ML),Algorithms learning to solve problems from data to create deployable models.,
Mappings,Pairing of inputs to specific outputs.,
Neural Network,"A model architecture used for machine learning, characterized by many parameters and trainable via SGD.",
Optimization,Strategies for selecting optimal parameter values to minimize/maximize a quantity.,
Overfitting,"A model learning patterns too specific to its training data, leading to poor performance on new data.",
Failure modes,"The way in which an LLM fails. Its limitation, hallucinations, or shortcomings. The ""bugs"" of the models. What it can and can not handle. ",
Prompt (Cognitive) Overload,"In terms of AI this refers to when a prompt, conversation, or prompt architecture is to overly complicated or disorganized to the point where the AI either can't parse all of it because of its limits or does not know the organization structure to take when parsing. Could occur when the prompt is unorganized or has to many uses of prompt injections, and/or too much unclarified examples, templates, or context. ",
Benchmarks & Evaluations,https://arxiv.org/pdf/2310.07641.pdf https://arxiv.org/pdf/2211.09110.pdf https://arxiv.org/pdf/2307.03109.pdf  https://arxiv.org/pdf/1811.08186.pdf,
Item Response Theory (IRT),"A set of mathematical models used mainly in educational testing and psychometric evaluation, which describes the relationship between a latent trait (like ability) and the responses to test items.",
Difficulty and Discrimination (IRT parameters),"Difficulty refers to the challenge level of a problem, and discrimination refers to the ability of a problem to distinguish between different levels of respondent ability.",
Ability (of a respondent),A latent trait indicating the proficiency or skill level of an individual or AI system.,
Generality,A metric evaluating whether an AI system consistently performs well across a range of problems with varying difficulty.,
Arcade Learning Environment (ALE) and General Video Game AI (GVGAI),Benchmarks in AI used to assess the performance of AI agents across a multitude of problems.,
Convergence,"The point at which an AI model's performance stabilizes, indicating that further training does not significantly change the outcome.",
Parameter Estimation (in IRT),"The process of determining the values of difficulty, discrimination, and ability based on response data.",
Regularization and Variance,"Regularization refers to techniques that prevent overfitting, while variance measures the variability of AI performance across different problems.",
Agent Characteristic Curves (ACCs) and Item Characteristic Curves (ICCs),"Graphical representations used in IRT to depict the relationship between problem difficulty and the likelihood of correct response, for agents and items respectively.",
Populational vs. Non-Populational Metrics,Differentiates between measures that depend on the group of entities being evaluated and those that do not.,
Binary and Continuous Models (in IRT),"Refers to the type of response format – binary models have yes/no or correct/incorrect responses, while continuous models deal with a range of scores.",
Maximum Likelihood Estimation (MLE),A statistical method used for estimating the parameters of a statistical model.,
Neighbor Instructions (NEIGHBOR),Involves retrieving a closely related but sufficiently different instruction from the same dataset to test instruction-following abilities.,
GPT-4 Instructions (GPTINST),"Uses GPT-4 to generate a similar but distinct instruction from the original, to create diverse testing scenarios.",
GPT-4 Unhelpful Outputs (GPTOUT),"Directly prompts GPT-4 to produce outputs that are superficially good but ultimately unhelpful or incorrect, assessing the model's discernment.",
Manual Construction (MANUAL),Combines elements from automated methods with human creativity to generate nuanced adversarial outputs for evaluation.,
GLUE (General Language Understanding Evaluation),A collection of language tasks designed to measure a model's understanding of language through various subtasks such as sentiment analysis and natural language inference.,
SuperGLUE,An enhanced version of GLUE with more challenging tasks to test deeper understanding and reasoning.,
SQuAD,A dataset for evaluating reading comprehension abilities through questions based on Wikipedia articles.,
Winograd Schema Challenge,Tests models' common sense reasoning by requiring them to resolve ambiguities in sentences.,
HellaSwag,Challenges models on commonsense reasoning in narrative contexts.,
BIG-Bench (Beyond the Imitation Game Benchmark),A comprehensive set of tasks designed to probe models' abilities across various domains and capabilities.,
Calibration,Measures how well the probabilities predicted by a language model reflect the true likelihoods of outcomes.,
Robustness,Assesses the model's ability to maintain performance across varied or challenging conditions.,
Fairness,Evaluates the model's ability to produce unbiased outputs across different groups or scenarios.,
Performance Disparities,Examines the differences in model performance across demographic groups or data distributions.,
Generative Harms,Investigates the biases and toxicity in model generations and their potential societal impacts.,
Question Answering,Evaluates the model's ability to answer questions correctly across various datasets and domains.,
Information Retrieval,Tests the model's capacity for searching and ranking information accurately.,
Summarization,"Assesses the model's ability to condense information into shorter, coherent forms while retaining the core message.",
Sentiment Analysis,Measures the model's ability to correctly identify and classify emotional tone from text data.,
Toxicity Detection,Evaluates the model's ability to identify and flag harmful or inappropriate content.,
Knowledge,Assesses the model's ability to leverage and apply factual information correctly.,
Reasoning,Evaluates the model's ability to perform logical deduction and problem-solving.,
Human-in-the-loop ,Human evaluates the output. ,
Crowd-sourcing testing,Many humans evaluating the output.,
Memorization,"Measures the model's tendency to reproduce verbatim information from its training data, which can be a concern for copyright and privacy.",
Disinformation,Assesses the model's ability to generate or identify false information potentially used to mislead or deceive.,
Targeted Biases,"Evaluates the model's outputs for biases in specific, potentially ambiguous contexts.",
Targeted Toxicity Generation,Investigates the model's tendency to produce harmful content in response to toxic prompts.,
Comprehensiveness,Evaluates the thoroughness and detail of the model's responses across various scenarios.,
Prompting,"Assesses the model's sensitivity to the format and content of prompts, including the use of examples within the prompts.",
Multiple Choice Adaptation,Evaluates how the model performs on multiple-choice questions based on how the scenarios are adapted into prompts.,
Upstream Perplexity,Examines if early-stage language modeling performance predicts later-stage task-specific accuracy.,
Downstream Accuracy,"Measures the model's performance on applied tasks, such as classification or question answering, following language modeling.",
Model Scale Trends,Investigates how the size of the model impacts its performance across various metrics and scenarios.,
Prompt-based Evaluation,Evaluating language models by presenting them with prompts and assessing the generated responses.,
Zero-shot Learning,"Assessing the model's ability to handle tasks it has not been explicitly trained for, based on general knowledge and understanding.",
Few-shot Learning,Evaluating the model's ability to adapt to new tasks with only a few examples for guidance.,
Self-consistency,Measuring the consistency of a model's responses across different prompts or reformulations of the same question.,
Instruction Following,Testing the model's ability to understand and follow complex instructions or commands provided in natural language.,
Generalization,"Assessing the model's ability to apply learned knowledge and skills to new, unseen scenarios.",
Robustness,"Evaluating the resilience of a model to various types of input perturbations, such as paraphrasing, noise, or adversarial attacks.",
Sentiment Analysis,"Analyzes text to identify emotional tone, usually classifying it as positive, neutral, or negative. ChatGPT performs well in this area, even in detailed sentiment and cause analysis, showing advantages in low-resource settings despite limitations in understanding under-resourced languages.",
Text Classification,"Involves categorizing text into different groups, beyond just sentiment, covering various topics and tasks. Large Language Models (LLMs) like ChatGPT have shown good performance in classifying news credibility, public affairs topics, and other diverse text categories.",
Natural Language Inference (NLI),"Determines if a hypothesis logically follows from a premise. ChatGPT has shown superior performance compared to GPT-3.5, especially with factual information, though there are still significant areas for improvement, particularly in representing human disagreement.",
Semantic Understanding,"Involves the deep comprehension of language, focusing on the meaning, intent, and relationships between words and concepts. While LLMs understand individual events and show strong reasoning in causal and intentional contexts, they struggle with perceiving semantic similarities among events.",
Number of Evaluators,,
Adequate Representation,Ensures diverse perspectives for nuanced understanding,
Statistical Significance,Enables reliable extrapolation of results to a broader context,
Evaluation Rubrics,,
Accuracy,"Precision and correctness in the text, alignment with factual knowledge",
Relevance,"Appropriateness and significance of content, addressing the given context or query",
Fluency,"Smoothness in language, maintaining consistent tone and style, readability",
Transparency,"Clarity in the decision-making process, understanding of model responses",
Safety,"Avoidance of inappropriate, offensive, or harmful content",
Human Alignment,"Alignment with human values, preferences, and ethical standards",
Evaluator’s Expertise,,
Relevant Domain Expertise,Knowledge and understanding relevant to the content domain,
Task Familiarity,Understanding and experience with the specific tasks the LLM performs,
Methodological Training,Skills in the correct methods and processes for evaluation,
Social Knowledge,,
SOCKET,Focuses on social language understanding through specific downstream tasks.,
Multimodal Large Language Models (LLMs),,
MME,Evaluates multi-modal tasks assessing perception and cognition abilities.,
SEED-Bench,Targets generative understanding in multimodal Large Language Models.,
MMBench,Examines large vision-language models (LVLMs) for multifaceted capabilities.,
MM-Vet,Assesses integrated vision-language capabilities in complicated multi-modal tasks.,
LAMM,"Focuses on multi-modal point clouds, evaluating based on task-specific metrics.",
LVLM-eHub,,
Comprehensive Evaluation,,
Xiezhi,Measures overall performance across multiple benchmarks for comprehensive domain knowledge.,
HELM,Holistic evaluation through multi-metric analysis for general language tasks.,
Script Learning and Legal Understanding,,
Choice-75,Evaluates the overall performance of LLMs in script learning.,
CUAD,"Specific to legal contract review, assessing understanding of legal documents.",
Ethical and Emotional Understanding,,
TRUSTGPT,"Focuses on ethics including toxicity, bias, and value alignment.",
EmotionBench,Assesses empathy ability by understanding emotional changes.,
General Language and Multi-Task Evaluations,,
MMLU,Evaluates general language tasks with multitask accuracy.,
BOSS,Assesses out-of-distribution (OOD) robustness in NLP for general language tasks.,
GLUE-X,Evaluates OOD robustness for NLP tasks in general language tasks.,
KoLA,Focuses on knowledge-oriented evaluation for general language tasks.,
AGIEval,Aims at evaluating human-centered foundational models in general language tasks.,
PromptBench,Assesses adversarial prompt resilience for general language tasks.,
MT-Bench,Evaluates multi-turn conversation capabilities judged by GPT-4.,
LLMEval2,"General LLM evaluator focusing on accuracy, macro-f1, and kappa correlation coefficient.",
Specific Downstream Tasks,,
MATH,Evaluates mathematical ability.,
APPS,Assesses code generation ability.,
CELLO,Focuses on understanding complex instructions.,
CMMLU,Chinese multi-tasking language understanding.,
API-Bank,"Evaluates tool utilization including API call, retrieval, and planning.",
M3KE,Focuses on multi-task accuracy.,
UHGEval,Targets hallucination issues in Chinese LLMs.,
ARB,Assesses advanced reasoning ability across multiple domains.,
MultiMedQA,Targets medical question answering for accuracy and human evaluation.,
ToolBench,Evaluates software tool's execution success rate.,
FRESHQA,Assesses dynamic question answering for correctness and hallucination.,
CMB,Focuses on Chinese comprehensive medicine.,
MINT,Evaluates multi-turn interaction success rate.,
Dialogue CoT,Assesses in-depth dialogue help and acceptance.,
SafetyBench,Focuses on safety abilities of LLMs.,
M3Exam,"Multilingual, multimodal, and multilevel task-specific evaluations.",
GAOKAO-Bench,Evaluates Chinese Gaokao examination accuracy and scoring rate.,
VITC (Vision-in-Text Challenge),A benchmark designed to evaluate the capabilities of LLMs in recognizing and interpreting prompts represented as ASCII art.,
Chatbots and Automated Evaluation,,
OpenLLM,Evaluates chatbots through leaderboard rankings.,
Chatbot Arena,Assesses chat assistants via crowdsourcing and Elo rating system.,
AlpacaEval,"Automated evaluation focusing on metrics, robustness, and diversity.",
DynaBench,"Dynamic evaluation across NLI, QA, sentiment analysis, and hate speech.",
PandaLM,Evaluates instruction tuning through winrate judged by PandaLM.,
Safety and Responsibility,,
CVALUES,Assesses alignment ability of LLMs regarding safety and responsibility.,
Advanced Reasoning and Multilingual Evaluation,,
ARB,Evaluates multidomain advanced reasoning ability.,
BIG-bench	,Assesses capabilities and limitations of LMs on model performance and calibration.,
Security and Safety ,https://csrc.nist.gov/pubs/ai/100/2/e2023/final https://arxiv.org/pdf/2402.11753.pdf,
Availability Attack,Adversarial attacks against machine learning which degrade the overall model performance.,
AI System Hardening,Techniques for making AI systems more resilient to cyber-attacks and malicious exploitation.,
Data Poisoning,"Poisoning attacks in which a part of the training data is
under the control of the adversary",
Model Poisoning,"Poisoning attacks in which the model parameters are
under the control of the adversary",
Model Extraction,"Type of privacy attack to extract model architecture
and parameters",
Poisoning Attacks,"Adversarial attacks against machine learning at
training time.",
Prompt Injection,Attacker technique in which a hacker enters a text prompt into an LLM or chatbot designed to enable the user to perform unintended or unauthorized actions,
Indirect Prompt Injection,"Attacker technique in which a hacker relies on an LLM ingesting a prompt injection attack indirectly, e.g., by visiting a web page or document.",
Zero-Width Prompt Injection,Hidden Prompt Injection using zero-width markdown. ,
Adversarial Prompts,,
Jailbreaking | Jailbreak Attack,An attack that employs prompt injection to specifically circumvent the safety and moderation features placed on LLMs by their creators. Techniques or methods aimed at bypassing the safety measures of LLMs to elicit responses that violate intended safety protocols.,
Red Teaming,"A group of people authorized and organized to emulate a potential adversary’s attack or exploitation capabilities against an enterprise’s security posture. The Red Team’s objective is to improve enterprise cybersecurity by demonstrating the impacts of successful attacks and by demonstrating what works for the defenders (i.e., the Blue Team) in an operational environment.",
ASCII Art,A graphic design technique that creates pictures out of text characters. Used in this context to encode information in prompts to bypass LLM safety filters.,
ArtPrompt,A novel attack method developed to bypass the safety measures of LLMs by leveraging ASCII art within prompts to elicit undesired responses.,
Safety Alignment,"The process of training and refining LLMs to prevent them from generating harmful, biased, or undesired responses.",
Cloaked Prompt,"A type of prompt used in jailbreak attacks where sensitive or trigger words are masked or encoded (e.g., as ASCII art) to bypass LLM safety filters.",
Masked Prompt | Word Masking,A prompt where specific words likely to trigger safety measures are hidden or replaced to prevent the LLM from rejecting the prompt based on safety alignments.,
Black-Box Access,"Interacting with an LLM without knowledge of its internal workings or architecture, akin to treating the model as a ""black box.""",
White-Box Access,"Access to the internal architecture and parameters of the LLM, allowing detailed understanding and manipulation during an attack.",
Unsafe Behaviors,"Responses or actions generated by LLMs that could be considered harmful, biased, misleading, or in violation of safety protocols.",
Direct Instruction (DI),A straightforward method where an attacker prompts the LLM directly with harmful instructions intended to elicit undesired behaviors.,
Greedy Coordinate Gradient (GCG),An optimization-based jailbreak attack requiring white-box access to the LLM. It employs a gradient-based method to identify token sequences that can circumvent safety measures.,
AutoDAN,"An automated, optimization-based jailbreak attack using a hierarchical genetic algorithm. Requires white-box access and generates stealthy jailbreak prompts.",
Prompt Automatic Iterative Refinement (PAIR),An optimization-based attack that iteratively refines prompts to bypass LLM safety measures. Requires only black-box access to the LLM.,
DeepInception,A black-box jailbreak attack that leverages LLMs' ability to personify and create nested narratives to induce harmful behaviors.,
